Year,Month,Period,Age Group,Sex,COVID-19 Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Total Deaths,State
2020,1,1/1/2020,0-17 years,Male,0,50,0,36,86,"1,670",United States
2020,1,1/1/2020,0-17 years,Female,0,40,0,27,67,"1,296",United States
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,44,Alabama
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,27,Alabama
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,Alaska
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Alaska
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,48,Arizona
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,21,Arizona
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,23,Arkansas
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,18,Arkansas
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,11,158,California
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,104,California
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,30,Colorado
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,23,Colorado
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,15,Connecticut
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Connecticut
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,Delaware
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Delaware
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,District of Columbia
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,District of Columbia
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,120,Florida
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,91,Florida
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,61,Georgia
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,48,Georgia
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,Hawaii
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Hawaii
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,0,Idaho
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Idaho
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,52,Illinois
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,43,Illinois
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,36,Indiana
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,30,Indiana
2020,1,1/1/2020,0-17 years,Male,0,0,0,0,0,12,Iowa
2020,1,1/1/2020,0-17 years,Female,0,0,0,0,0,0,Iowa
